timestamp,gx,gy,gz
1726357295.9120195,-113.34,-128.3,-96.07
1726357165.3624318,26.79,248.47,-174.13
1726357391.0203676,-12.57,-637.57,-53.89
1726357008.2602413,16.91,8.12,-6.77
1726357205.9739375,323.61,-360.66,54.26
1726357303.1784115,-12.45,-1.83,115.78
1726357385.8361278,167.48,-685.12,111.69
1726357402.7751637,-49.8,-130.37,75.68
1726357346.132549,-50.23,-317.44,-80.93
1726357161.9511456,29.6,-98.45,30.33
1726357197.5910792,-10.62,-131.84,315.86
1726357107.4382572,156.86,-579.83,-242.74
1726357046.3796906,-142.15,-454.28,-332.28
1726357149.9589462,172.18,247.86,-233.4
1726357250.740259,56.4,62.38,-88.26
1726357186.9352205,11.6,64.76,44.68
1726357501.2707613,0.92,0.06,-0.06
1726357455.9383335,-226.32,318.79,-54.99
1726357064.0006518,-237.98,2.62,-167.42
1726357411.5839243,-43.76,-169.49,225.52
1726357012.9846666,11.54,43.4,14.28
1726357269.8398,-167.6,-761.54,-43.88
1726357236.850138,-95.15,189.94,99.55
1726357318.5810285,-656.37,-351.07,-23.62
1726357089.597839,229.0,650.88,338.07
1726357514.5553706,108.09,-94.85,30.33
1726357355.9294014,10.86,29.24,154.24
1726357108.7120614,114.44,-285.58,477.11
1726357408.297881,-49.01,250.37,-58.41
1726357382.5225172,271.67,-785.52,-163.88
1726357499.0936725,-12.7,18.25,-13.92
1726357357.007486,71.29,-197.81,94.91
1726357160.7332375,39.79,110.11,152.1
1726357080.1317585,37.72,416.26,-582.89
1726357444.286873,-1.22,7.51,-7.14
1726357145.6705737,-490.36,21.42,-620.54
1726357201.833868,266.05,563.35,-582.15
1726357022.3742864,-280.64,-3.36,-25.45
1726357405.0975208,-8.79,206.12,453.49
1726357474.367792,103.03,31.07,68.85
1726357287.8870285,-71.35,-55.85,-70.5
1726357197.83763,124.15,396.3,-121.28
1726357452.140803,-163.64,99.18,-282.96
1726357514.0914826,67.99,43.4,22.46
1726357149.2647748,-272.28,-105.9,502.75
1726357117.0380905,-481.51,22.28,596.37
1726357443.560869,-0.06,5.74,-4.7
1726357438.2837036,-0.79,2.01,-1.34
1726357416.8673725,99.37,-390.5,513.37
1726357206.9564767,-509.03,-664.73,715.58
1726357022.116443,-164.43,-179.87,11.84
1726356869.199412,392.33,-141.17,513.0
1726357168.0878978,-112.73,178.65,-222.84
1726357297.1164205,-60.18,-265.93,183.9
1726356996.8437786,2.5,1.16,-1.53
1726356845.8630407,-2.08,-0.49,-0.49
1726356874.5371854,-444.7,564.82,-521.42
1726357171.991805,-148.74,165.59,-185.06
1726357197.1081328,254.09,-87.59,-245.42
1726357052.8351004,-287.11,425.6,-265.75
1726357288.390337,43.15,37.11,208.92
1726357041.0770364,-62.99,-148.25,986.33
1726357147.7273414,-100.1,58.11,64.27
1726357393.7001052,-169.43,644.47,-349.43
1726357358.3206992,-0.06,-61.71,-11.17
1726357313.907767,83.92,-19.84,-137.33
1726357313.423986,78.0,3.17,-70.19
1726357118.263243,303.53,-271.12,-469.18
1726357139.223382,-301.88,-130.68,743.1
1726357009.8038096,122.31,-23.93,205.2
1726357022.8377912,192.57,-62.26,248.6
1726357421.4381008,-10.07,36.62,-13.18
1726357122.408502,298.52,-277.47,-573.97
1726357477.0141726,48.95,-94.85,2.93
1726357481.9913516,87.16,-216.92,133.97
1726357384.6110168,192.99,-25.51,633.24
1726357312.3989236,15.5,-20.39,-23.07
1726357379.8438704,-102.91,393.98,-448.49
1726357330.4577498,9.28,73.61,213.68
1726357285.395211,-10.25,53.22,9.58
1726357363.2804997,68.6,241.39,17.21
1726357366.3829205,-48.46,148.99,-414.18
1726357293.6913035,-53.77,-78.92,6.29
1726357471.6788588,-19.35,35.95,87.52
1726357072.126553,-403.99,178.65,626.4
1726357407.5810475,54.57,-331.85,-83.01
1726357111.816236,305.66,-300.42,-629.09
1726357265.5843155,-55.3,141.6,25.09
1726357073.8177776,-63.96,470.21,-32.35
1726356847.0706277,-0.61,-0.37,-0.55
1726357317.3699362,-27.47,-65.49,-231.26
1726356876.3930235,-397.71,240.72,-603.52
1726357336.3782835,53.41,-77.76,-103.52
1726357339.1625507,-56.34,9.4,-35.71
1726357289.6650395,-61.83,-42.72,-168.7
1726357123.1263318,-430.42,160.03,716.8
1726357482.4676878,323.91,-75.93,242.0
1726357133.618164,79.1,167.85,148.44
1726357190.0096352,191.41,-12.08,-499.08
1726357064.3363004,-120.79,507.08,284.67
1726357166.1195383,130.8,-51.57,427.06
1726357448.9160094,1.59,0.37,5.19
1726357284.898446,32.41,52.55,4.03
1726357501.0185714,-1.59,0.43,-2.5
1726357361.0139625,114.62,-369.93,69.4
1726357042.3401003,13.18,-479.25,-221.31
1726357377.6673205,45.1,595.52,-453.67
1726357432.3928182,25.63,59.45,207.15
1726357347.1140108,118.47,-456.97,125.12
1726357326.8554327,7.2,181.7,0.31
1726357511.8941846,-1.95,-2.5,0.43
1726357175.4418747,-21.24,426.33,89.11
1726357473.3612278,18.55,125.85,7.57
1726357260.2565138,-274.84,491.94,54.75
1726357098.985196,-196.66,-403.14,527.71
1726357314.1564832,-118.04,18.92,-29.11
1726356997.4180045,4.76,-0.12,-2.38
1726357148.4954362,-65.55,-36.5,619.26
1726357294.8968556,-61.16,2.81,226.75
1726356868.1359603,-198.24,477.23,659.91
1726357330.9296525,-218.87,-323.3,432.01
1726357271.58731,-123.6,337.59,460.08
1726357038.8281956,-131.23,798.1,-474.91
1726357376.914682,377.62,-365.54,352.97
1726356888.3716333,68.66,-226.38,773.93
1726357126.3161666,154.72,-419.19,-598.51
1726357196.6049116,-59.51,224.37,150.33
